Adlm
Ahom
Hluw
Arab
Armn
Avst
Bali
Bamu
Bass
Batk
Beng
Beng
Bhks
Bopo
Brah
Brai
Bugi
Buhd
Zzzz
Cans
Cari
Aghb
Cakm
Cham
Cher
Chrs
Hani
Copt
Cprt
Cyrl
Zyyy
Dsrt
Deva
Deva
Diak
Dogr
Dupl
Egyp
Elba
Elym
Ethi
"Geok, Geor"
Glag
Goth
Gran
Grek
Gujr
Gujr
Gong
Guru
Guru
Hang
Hang
Rohg
Hano
Hatr
Hebr
Armi
Phli
Prti
Java
Kthi
Knda
Knda
"Hrkt, Hira, Kana"
Kali
Khar
Kits
Khmr
Khoj
Sind
Laoo
"Latn, Latf, Latg"
Lepc
Limb
Lina
Linb
Lisu
Lyci
Lydi
Mahj
Maka
Mlym
Mlym
Mand
Mani
Marc
Gonm
Zmth
Medf
Mtei
Mend
Merc
Mero
Plrd
Modi
Mong
Mroo
Mult
Zsym
Mymr
Mymr
Nbat
Nand
Newa
Talu
Nkoo
Nshu
Hmnp
Orya
Orya
Ogam
Olck
Ital
Hung
Narb
Perm
Xpeo
Sogo
Sarb
Orkh
Osge
Osma
Hmng
Palm
Pauc
Phag
Phnx
Phlp
Rjng
Runr
Samr
Saur
Shrd
Shaw
Sidd
Sgnw
Sinh
Sogd
Sora
Soyo
Xsux
Sund
Sylo
Syrc
Tglg
Tagb
Tale
Lana
Tavt
Takr
Taml
Taml
Tang
Telu
Telu
Thaa
Thai
Tibt
Tfng
Tirh
Ugar
Vaii
Wcho
Wara
Yezi
Yiii
Zanb
